root_uid	language	topic_id
IC0015D2J	eng	E103
IC0015KBJ	eng	E103
IC0015KBV	eng	E103
IC0015L5A	eng	E103
IC0015L5K	eng	E103
IC0015L5X	eng	E103
IC0015L64	eng	E103
IC0015L79	eng	E103
IC0015L91	eng	E103
IC0015LA9	eng	E103
IC0015LBH	eng	E103
IC0015LD5	eng	E103
IC0015M4A	eng	E103
IC0015MBV	eng	E103
IC00162GK	eng	E103
IC00162GK	ukr	E103
IC00162XL	eng	E103
IC001672H	eng	E103
IC001673A	eng	E103
IC001673I	eng	E103
IC001676E	eng	E103
IC001679S	eng	E103
IC00167BT	eng	E103
IC00162L9	eng	E103
IC00162L9	rus	E103
IC00162L9	ukr	E103
IC0015LB0	eng	E103
IC0015Y36	eng	E103
IC0015Y36	ukr	E103
IC0015YD1	und	E103
IC0015YD1	eng	E103
IC0015YD1	ukr	E103
IC0015YD8	eng	E103
IC0015YD8	rus	E103
IC0015YD8	ukr	E103
IC0015YG7	eng	E103
IC0015YG7	rus	E103
IC0015YG7	ukr	E103
IC0015L6L	rus	E103
IC0015L6Z	rus	E103
IC0015M8H	rus	E103
IC0015O6M	rus	E103
IC0015O89	rus	E103
IC0015O8N	rus	E103
IC0015Q2T	rus	E103
IC0015QNM	rus	E103
IC0015YNF	rus	E103
IC00162DP	rus	E103
IC00162Q0	rus	E103
IC00162SN	rus	E103
IC00162TX	rus	E103
IC00162W9	rus	E103
IC00162WH	rus	E103
IC001631H	rus	E103
IC0016335	rus	E103
IC001634B	rus	E103
IC001639B	rus	E103
IC001639J	rus	E103
IC00165YA	rus	E103
IC001L3AA	rus	E103
IC001L3FQ	rus	E103
IC001L3Q4	rus	E103
IC0015Q3Z	rus	E103
IC0015YM7	rus	E103
IC00162W4	rus	E103
IC0015QIF	rus	E103
IC0015YGZ	rus	E103
IC0015O8G	rus	E103
IC0015PZ4	rus	E103
IC0015OEQ	rus	E103
IC0016A6U	ukr	E103
IC0016AA8	ukr	E103
IC0016ACK	rus	E103
IC0016ACK	ukr	E103
IC0016AEB	ukr	E103
IC0016AEQ	ukr	E103
IC0016AH9	ukr	E103
IC0016AJE	ukr	E103
IC0016AL3	ukr	E103
IC0016APN	ukr	E103
IC0016ASA	rus	E103
IC0016ASA	ukr	E103
IC001L3LQ	ukr	E103
IC001L3SC	ukr	E103
IC001L3TG	ukr	E103
IC001L46F	ukr	E103
IC001L473	ukr	E103
IC001L4J1	ukr	E103
IC0016ASV	ukr	E103
IC0016ATL	ukr	E103
IC001L2R8	ukr	E103
IC0016ABC	ukr	E103
IC0016AFV	ukr	E103
IC0016AIM	rus	E103
IC0016AIM	ukr	E103
IC0016AMY	ukr	E103
IC001L38O	ukr	E103
IC001L3O3	ukr	E103
IC00169X6	rus	E103
IC00169X6	ukr	E103
IC0016AE1	rus	E103
IC0016AE1	ukr	E103
IC0015L3Y	eng	E103
IC0015L6F	rus	E103
IC0015LNI	eng	E102
IC0015LRB	eng	E102
IC0015LS7	eng	E102
IC0015LZ8	eng	E102
IC0015N98	eng	E102
IC0015NBG	eng	E102
IC0015NGX	eng	E102
IC0015NGX	rus	E102
IC0015PQS	eng	E102
IC0015QES	eng	E102
IC0015RNR	eng	E102
IC0016576	eng	E102
IC001658T	eng	E102
IC001659U	eng	E102
IC00165AW	eng	E102
IC0015PTV	eng	E102
